id,name,address,lat,lon,station_deux_roues,nbre_pdc,puissance_nominale
12119, MASSY - SOLOGNE,ALLÉE DE LA SOLOGNE,48.737225,2.295414,false,2,22000
12120, Sarrebourg Gare,Rue de l'Europe 57400 Sarrebourg,48.7373,7.05105,false,2,22
12121, E. Leclerc Dreux,Rue Des Riottes 28100 Dreux,48.73735181,1.34782085,false,6,22
12122, Sarrebourg  Ferme du Winkelhof,Ferme du Winkelhof 57400 Sarrebourg,48.73767482,7.02598493,false,2,22
12123, Saverne Place Saint Nicolas,Place Saint-Nicolas 67700 Saverne,48.73833298,7.36860288,false,2,22
12124, Villeneuve-Saint-Georges rue de Paris,188 Rue De Paris 94190 Villeneuve-Saint-Georges,48.738614,2.446859,false,2,50
12125, 900115,Office du tourisme Verneuil sur Avre,48.738663,0.929944,false,2,22.0
12126, SIGEIF - 11  RUE FERNAND LEGER - WISSOUS,RUE FERNAND LÉGER,48.739087,2.329537,false,2,22000
12127, Sarrebourg Rue Dessirier,2 Rue Dessirier 57400 Sarrebourg,48.739235,7.073343,false,2,7
12128, Saverne Parking des Dragons,Rue Des Dragons 67700 Saverne,48.73925281,7.36137953,false,2,22
12129, Monswiller  Rue Dreispitz,9 Rue Dreispitz 67700 Monswiller,48.73937715,7.3899349,false,2,22
12130, IGNY - LOR METE,RUE DE LOR MÉTÉ,48.739605,2.222766,false,2,22000
12131, 900114,Avenue Foch Verneuil sur Avre,48.74003,0.929616,false,2,22.0
12132, 900113,Avenue Foch Verneuil sur Avre,48.740485,0.928988,false,2,22.0
12133, SIGEIF - 204 RUE DESTIENNE DORVES - VERRIERES-LE-BUISSON,RUE DESTIENNE DORVES,48.740984,2.252401,false,2,22000
12134, Saverne Burger King,91 Rue De Dettwiller 67700 Saverne,48.741122,7.382598,false,2,25
12135, IGNY- PLACE FRANCOIS COLLET,RUE AMBROISE CROIZAT,48.741585,2.226447,false,2,22000
12136, Rungis Manille,113 rue des Solets 94150 Rungis,48.7419,2.35005,false,4,22
12137, E.Leclerc Orly,8 Place Gaston Viens 94310 Orly,48.7419096,2.40632298,false,12,22
12138, Renault Limeil,18 avenue de Valenton 94450 Limeil-Brévannes,48.742041,2.486263,false,2,22.08
12139, Saverne Place du Château,Quai Du Château 67700 Saverne,48.74221383,7.36583159,false,2,22
12140, 900049,Parking gare SNCF Verneuil sur Avre,48.74251,0.929488,false,2,22.0
12141, Metropolis - Citadine - Orly - Aérodrome,15 Avenue de l'Aérodrome 94310 ORLY,48.742641,2.399966,false,1,22.00
12142, Réding Gare,Place de la Gare 57445 Réding,48.743,7.09613,false,2,22
12143, Rungis Parking Paprika,Avenue de la gare 94150 Rungis,48.74300597,2.35261828,false,8,7
12144, SIGEIF - 54 BOULEVARD DU MARECHAL FOCH - VERRIERES-LE-BUISSON,BOULEVARD DU MARÉCHAL FOCH,48.743228,2.264582,false,1,7000
12145, Saverne Rue de la Gare,7 Rue De La Gare 67700 Saverne,48.743353,7.36037,false,2,22
12146, Rungis Caracas,24 rue de Villeneuve 94150 Rungis,48.7436,2.35306,false,6,7
12147, Rungis Hôtel La Maison Blanche,8 Avenue De La Gare 94150 Rungis,48.74368,2.351334,false,2,22
12148, Rungis Perth CEMEX,Place De La Balance 94150 Rungis,48.74384815,2.35876131,false,2,22
12149, Rungis Perth privé,Place De La Balance 94150 Rungis,48.74394366,2.35979106,false,5,7
12150, VALENTON - Rue du Colonel Fabien,51 Rue du Colonel Fabien 94460 Rue du Colonel Fabien,48.7441177,2.4704403,FALSE,2,22
12151, COIGNIERES - Avenue De La Gare,Avenue De La Gare,48.744232177734375,1.9204670190811157,false,4,22.0
12152, COIGNIERES - Avenue De La Gare,COIGNIERES - Avenue De La Gare,48.744234,1.920467,FALSE,4,22
12153, Rungis Perth,11-19 rue des Solets 94150 Rungis,48.7443,2.35927,false,2,22
12154, Rungis Toronto Abbvie,10 Rue d'Arcueil 94150 Rungis,48.74516052,2.35916126,false,4,22
12155, LA ROCHE DERRIEN-PLACE DU PILORI / PLACE DU MARTRAY PARKING DU BOULODROME,PARKING RUE DE LHÔPITAL,48.7452,-3.26137,false,2,22000
12156, Bernolsheim Burger King,Route De Brumath 67170 Bernolsheim,48.74537984,7.68778271,false,2,25
12157, Rungis Québec,19 Rue D'arcueil 94150 Rungis,48.745383,2.359391,false,28,3
12158, TOUSSUS-LE-NOBLE  - Rue Robert Esnault Pelterie,Rue Robert Esnault Pelterie,48.74561309814453,2.1148769855499268,false,2,22.0
12159, TOUSSUS-LE-NOBLE  - Rue Robert Esnault Pelterie, Rue Robert Esnault Pelterie 78117  TOUSSUS-LE-NOBLE,48.745614,2.114877,FALSE,2,22
12160, PLOURIVO-LE BOURG,ROUTE DE PAIMPOL,48.745758,-3.07167,false,2,22000
12161, Rungis Dakar,43 avenue Robert Schumann 94150 Rungis,48.7458,2.3543,false,4,22
12162, Languimberg Chez Michèle,57 Rue Principale 57810 Languimberg,48.745802,6.858976,false,1,22
12163, Rungis Barcelone,43 Avenue Robert Schuman 94150 Rungis,48.74622726,2.35486794,false,6,7
12164, Rungis Calgary,25 avenue Robert Schumann 94150 Rungis,48.7465,2.35582,false,2,22
12165, Rungis Miami ABBOTT,Parking -1 rue d'Anthony 94150 Rungis,48.7467,2.35813,false,8,7
12166, COIGNIERES - Place De L'Eglise,Place De L'Eglise,48.747032165527344,1.9177989959716797,false,2,22.0
12167, COIGNIERES - Place De L'Eglise,COIGNIERES - Place De L'Eglise,48.747034,1.917799,FALSE,2,22
12168, VALENTON - Rue du Colonel Fabien (Parking E. Dolet),13 Rue du Colonel Fabien (Parking E. Dolet) 94460 VALENTON,48.7471393,2.4675713,FALSE,2,22
12169, Lésigny - centre commercial,rue du petit parc,48.747417,2.615704,false,2,18
12170, Bernolsheim Atolon Park Hôtel,5 Rue D'oslo 67170 Bernolsheim,48.747559,7.678525,false,2,22
12171, PLOUEZEC-ROUTE DE ST BRIEUC,PARKING RTE DE ST-BRIEUC,48.747627,-2.984804,false,2,22000
12172, Rungis Cardiff,20 rue Saarinen 94150 Rungis,48.7481,2.35377,false,6,22
12173, Renault Boissy-St-Léger,51 avenue du Général Leclerc 94470 Boissy-Saint-Léger,48.748721,2.509139,false,2,22.08
12174, SIGEIF - RUE DE SUCY - BOISSY-SAINT-LEGER,RUE DE SUCY,48.748812,2.513673,false,2,22000
12175, Rungis Strasbourg sous-terrain,Rue Auguste Perret 94150 Rungis,48.74925557,2.35444583,false,10,7
12176, Metropolis - Citadine - Orly - Hautes Bornes,1-3 Rue des Hautes Bornes 94310 ORLY,48.749487,2.40733,false,1,2.30
12177, Europcar Lannion,37 Avenue De La Résistance. 22300 Lannion,48.74956787,-3.46104976,false,2,22
12178, RUNGIS - Parking Avenue de la République, Parking Avenue de la République 94150 RUNGIS,48.750091,2.352359,FALSE,4,22
12179, FR*QOV*22-00001,Animotopia - 6 RUE JEAN-JACQUES AUDUBON 22300 LANNION,48.75013,-3.45206,0,6,22
12180, Animotopia - 6 RUE JEAN-JACQUES AUDUBON 22300,Animotopia - 6 RUE JEAN-JACQUES AUDUBON 22300 LANNION,48.75015,-3.45201,0,6,22
12181, RUNGIS - Voie au Lard , Voie au Lard  94150 RUNGIS,48.75019,2.347557,FALSE,3,7
12182, RUNGIS - Voie au Lard ,Voie au Lard ,48.75019073486328,2.3475570678710938,false,3,3.7
12183, Metropolis - Proximité - Antony - Combattants,Place des Combattants de l'Afrique du Nord 92160 ANTONY,48.7503152,2.3007512,false,1,22.00
12184, COIGNIERES - Rue De Neauphle Le Château,COIGNIERES - Rue De Neauphle Le Château,48.75056,1.91861,FALSE,2,22
12185, COIGNIERES - Rue De Neauphle Le Château,Rue De Neauphle Le Château,48.75056076049805,1.9186099767684937,false,2,3.7
12186, E. Leclerc Lannion,Route De Perros 22300 Lannion,48.75110645,-3.45815291,false,4,43
12187, LANGOAT-RUE DES ETANGS PARKING TERRAIN FOOT,RUE DES ETANGS,48.751244,-3.279891,false,2,22000
12188, Sarrebourg Rue de Sarreguemines,52 Rue De Sarreguemines 57400 Sarrebourg,48.75189522,7.06852562,false,4,22
12189, SIGEIF - PLACE DE LA GARE - BIEVRES,PLACE DE LA GARE,48.751964,2.216118,false,2,22000
12190, SIGEIF - 1 VOIE DE LAULNE - VERRIERES-LE-BUISSON,VOIE DE LAULNE,48.752064,2.270501,false,2,22000
12191, SARTILLY - Superette,1 rue de l'Eglise SARTILLY 50530 SARTILLY-BAIE-BOCAGE,48.752177,-1.4549578,false,2,22
12192, E. Leclerc Argentan,21 Rue Pierre Bérégovoy 61200 Argentan,48.75260609,-0.01307564,false,4,22
12193, Rungis Place du Relais,1 Place Du Relais 94150 Rungis,48.75298099,2.3551384,false,2,25
12194, La Houssaye-en-Brie,Place du Maréchal Augereau,48.75351,2.874503,false,2,18
12195, Crèvecoeur-en-Brie,rue de la Gaillardière,48.75396,2.90766,false,2,18
12196, Fresnes - Euro Hôtel Orly Rungis,63 avenue du Parc de Médicis 94260 Fresnes,48.75416,2.336357,false,4,150
12197, SIGEIF - PLACE DE LA MAIRIE - BIEVRES,PLACE DE LA MAIRIE,48.754676,2.21486,false,2,24000
12198, Metropolis - Citadine - Antony - Velpeau,14 rue Velpeau 92160 ANTONY,48.75483829,2.30132922,false,1,22.00
12199, Fresnes La Cerisaie,Parc commercial - Rue de la Loge 94260 Fresnes,48.7555,2.33047,false,9,7
12200, Kiehl France Parking,5 rue de Londres 67670 ,48.75567,7.66609,false,4,22
12201, SIGEIF - 1 ALLEE DES CASTORS - EMPLACEMENT 2 - BIEVRES,ALLÉE DES CASTORS,48.755734,2.219674,false,2,22000
12202, Châteauform Les Mesnuls Grande Rue,Grande Rue 78490 Les Mesnuls,48.75577145,1.83342382,false,8,22
12203, SIGEIF - PIERRE ET MARIE CURIE - FRESNES,PIERRE ET MARIE CURIE,48.755884,2.322484,false,2,22000
12204, Saclay Best Western,2 Route d'Orsay 91400 Saclay,48.756,2.17064,false,2,7
12205, 2ED,ZA des grands champs,48.7561,-0.6492,false,2,22
12206, Langatte Etang du Stock,Etang du Stock 57400 Langatte,48.7563,6.95799,false,2,22
12207, E.Leclerc Bar-le-Duc,Zac de la Avenue de la Grande Terre 55000 Bar-le-Duc,48.75647905,5.19355476,false,8,22
12208, Steinbourg Hôtel Ecluse 34,Rue Rohan - ZI Sud 67790 Steinbourg,48.75665765,7.3980443,false,2,22
12209, Fiat Coignières,3 Rue Joseph Marie Jacquard 78310 Coignières,48.756802,1.932101,false,4,22.08
12210, LANNION AEROPORT,PARKING DE LAÉROPORT,48.757046,-3.470821,false,1,0
12211, Choisy-Le-Roi-Villeneuve Avenue de Villeneuve-Saint-Georges -3348,Avenue de Villeneuve Saint Georges 94600 CHOISY LE ROI,48.757105,2.425522,false,2,22
12212, BAR LE DUC,ZAC de la Grande TERRE 55000 bar,48.7571171,5.1928184,false,8,50
12213, La Verrière - Hôtel Campanile,6 rue Louis Lormand 78320 La Verrière,48.757309,1.945414,false,4,150
12214, Bonneuil-Sur-Marne-Garry Avenue Robert Hottinguer -3901,Avenue Robert Hottinguer 94380 BONNEUIL SUR MARNE,48.757675,2.4841,false,4,22
