id,name,address,lat,lon,station_deux_roues,nbre_pdc,puissance_nominale
104, 900015,Parking de la gare Vascoeuil,49.444076,1.382145,false,2,22.0
105, 900016,Cours du marché aux chevaux place du velodrome Vernon,49.092359,1.489306,false,2,22.0
106, 900017,Centre du village Fleury la Forêt,49.419466,1.556744,false,2,22.0
107, 900018,Rue du four à chaux Lyons la Forêt,49.399683,1.479175,false,2,22.0
108, 900019,Parking service public Damville,48.871683,1.080285,false,2,22.0
109, 900020,la halle face culture velo / PARKING OFFICE DE TOURISME Louviers,49.211,1.17084,false,2,22.0
110, 900021,Place du champ de ville Louviers,49.21079,1.16539,false,2,22.0
111, 900022,Parking place de la République Louviers,49.213922,1.167038,false,2,22.0
112, 900023,Place Duboc Epaignes,49.27973,0.43984,false,2,22.0
113, 900024,Place de la Mairie Ezy sur Eure,48.86551,1.41963,false,2,22.0
114, 900025,Rue de Paris Igoville,49.319537,1.156333,false,2,22.0
115, 900026,Parking Intermarché Romilly sur Andelle,49.335297,1.266925,false,2,22.0
116, 900027,Place Dérou - la poste avenue Jean de la Varende Bernay,49.088719,0.592528,false,2,22.0
117, 900028,Place du Prebytere Conteville,49.417993,0.397276,false,2,22.0
118, 900029,Rue du Coq Beuzeville,49.34592,0.344569,false,2,22.0
119, 900030,Place Centre Ville La Neuve Lyre,48.907764,0.747974,false,2,22.0
120, 900031,Ecoparc satellite ZA2 Heudebouville,49.195263,1.224898,false,2,22.0
121, 900032,Eglise La Haye Malherbe,49.223315,1.06483,false,2,22.0
122, 900033,Stade Jessis Owens Val de Reuil,49.271924,1.197021,false,2,22.0
123, 900034,Place Aristide Briand Pont de l'Arche,49.30327,1.15578,false,2,22.0
124, 900035,Parking de la gare Pont Audemer,49.351758,0.513936,false,2,22.0
125, 900036,CAPE 12 rue de la Mare à Jouy Douains,49.062843,1.419905,false,2,22.0
126, 900037,Place Barette Vernon,49.092874,1.485049,false,2,22.0
127, 900038,Place Lafitte Breteuil,48.835912,0.913432,false,2,22.0
128, 900039,Place de la Mairie St Georges du Vievre,49.243902,0.584992,false,2,22.0
129, 900040,Place de la Liberté Rugles,48.824326,0.71108,false,2,22.0
130, 900042,Place de la République Fleury sur Andelle,49.35987,1.356333,false,2,22.0
131, 900043,Place de l'école Lieurey,49.230692,0.49855,false,2,22.0
132, 900045,Parc des Saules Val de Reuil,49.248609,1.187305,false,2,22.0
133, 900046,Parking touristique Giverny,49.0747562,1.530102,false,2,22.0
134, 900047,Parking touristique 2eme Giverny,49.074712,1.530081,false,2,22.0
135, 900048,Espace Ph Auguste - rue Riquier Vernon,49.09347,1.483316,false,2,22.0
136, 900049,Parking gare SNCF Verneuil sur Avre,48.74251,0.929488,false,2,22.0
137, 900050,Intermarché- médiathèque St Phibert sur Risle,49.293963,0.659175,false,2,22.0
138, 900051,Boulevard de Gaulle St Marcel,49.101689,1.452088,false,2,22.0
139, 900052,Salle des Fetes Gasny,49.093379,1.605988,false,2,22.0
140, 900053,Parking de Covoiturage Douains,49.060499,1.420738,false,2,22.0
141, 900054,Place de République Vernon,49.09016,1.485499,false,2,22.0
142, 900055,salle des sports Ecos,49.158001,1.605735,false,2,22.0
143, 900056,Rue Saint Louis Evreux,49.026011,1.153063,false,2,22.0
144, 900057,Boulevard Gambetta Evreux,49.019161,1.150262,false,2,22.0
145, 900059,Aire de co voiturage 2 Gaillon,49.157966,1.34918,false,2,22.0
146, 900060,Aire de covoiturage Saint Aubin sur Gaillon,49.139582,1.317617,false,2,22.0
147, 900061,Rue des Ecoles St André de l'Eure,48.906015,1.273518,false,2,22.0
148, 900062,Place Gustave Héon - tribunal Bernay,49.089329,0.597432,false,2,22.0
149, 900063,Parking Intermarché Gisors,49.276345,1.761226,false,2,22.0
150, 900064,Parking de Papavoine Le Vaudreuil,49.25644,1.20844,false,2,22.0
151, 900065,Centre bourg Serquigny,49.108212,0.709275,false,2,22.0
152, 900066,Rue de la Mairie Saint Ouen du Tilleul,49.293602,0.951704,false,2,22.0
153, 900067,Carrefour Malbrouck Carsix,49.153238,0.673576,false,2,22.0
154, 900068,La gare / boulevard Dubus Bernay,49.087252,0.596704,false,2,22.0
155, 900069,Plce Carnot Beaumont le Roger,49.080689,0.775525,false,2,22.0
156, 900070,ZAC Parking co voiturage Le Thuit Anger,49.260914,0.975642,false,2,22.0
157, 900071,Pharmaparc Place Edouard Labelle Le Vaudreuil,49.25786,1.208506,false,2,22.0
158, 900072,Parking de Derly Rue du Relais Thilliers en Vexin/Authevernes,49.23479,1.612249,false,2,22.0
159, 900073,Place Dufay Pacy sur Eure,49.013925,1.382675,false,2,22.0
160, 900074,Eglise Saint Germain la Campagne,49.048847,0.40543,false,2,22.0
161, 900075, Place de la mairie Beaumesnil,49.011757,0.704694,false,2,22.0
162, 900076,Rue de la Barre Ajou ,48.97842,0.781506,false,2,22.0
163, 900077,Parking des Ecoles La Madeleine de Nonancourt,48.778359,1.19461,false,2,22.0
164, 900078,Rue des Violettes Evreux,49.025102,1.17346,false,2,22.0
165, 900079,Rue des Pipots Evreux,49.030257,1.136316,false,2,22.0
166, 900080,Place de la République Evreux,49.026481,1.157598,false,2,22.0
167, 900081,Parking Mairie Gravigny,49.047854,1.162429,false,2,22.0
168, 900082,Aubevoye Gare SNCF,49.174165,1.352788,false,2,22.0
169, 900084,Zone des Sablons Alizay,49.320468,1.179005,false,2,22.0
170, 900085,RD840 Les Mares Le Chesne,48.890669,0.931972,false,2,22.0
171, 900086,Parking covoiturage Saint Aubin sur Gaillon,49.1394202,1.3175225,false,2,22.0
172, 900087,Rue Jean Bouin Evreux,49.021025,1.128076,false,2,22.0
173, 900088,Parking Mairie St Sébastien,49.006973,1.087785,false,2,22.0
174, 900089,Place de la Mairie Bourtheroulde ,49.299502,0.874672,false,2,22.0
175, 900090,Parking Com Com Quilleboeuf,49.467521,0.525036,false,2,22.0
176, 900091,Place de la mairie Routot ,49.378795,0.731554,false,2,22.0
177, 900092,Centre Le Bosc Roger en Roumois ,49.290671,0.922083,false,2,22.0
178, 900093,Route de Rouen Boisemont,49.29076,1.478814,false,2,22.0
179, 900094,Centre Le Bec Hellouin,49.233117,0.719094,false,2,22.0
180, 900095,Place des Quatre Saisons Val de Reuil,49.27201,1.217491,false,2,22.0
181, 900096,Centre Bourg Saint Pierre de Vauvray,49.231282,1.22331,false,2,22.0
182, 900097,Rue Jean Moulin Hondouville,49.140422,1.120187,false,2,22.0
183, 900098,Parking de la Mairie Bourg Achard ,49.35421,0.817924,false,2,22.0
184, 900099,Parking de covoiturage Bourneville,49.390881,0.622742,false,2,22.0
185, 900100,Parking Superette Le Thuit Signol ,49.266036,0.939257,false,2,22.0
186, 900101,Rue Gambetta Nonancourt,48.7702458,1.1993813,false,2,22.0
187, 900102,Parking Intermarché St Pierre des Fleurs ,49.248376,0.962192,false,2,22.0
188, 900103,Place Lorraine La Bonneville/Iton,48.992145,1.03789,false,2,22.0
189, 900104,Centre Bourg Lery,49.285445,1.206554,false,2,22.0
190, 900105,Place Paul Doumer Conches,48.959934,0.942348,false,2,22.0
191, 900106,Place Général de Gaulle Conches en Ouche ,48.960693,0.941474,false,2,22.0
192, 900107,Parking hotel le Cygne Conches,48.964562,0.941327,false,2,22.0
193, 900108,Gare SNCF Val de Reuil,49.275684,1.224221,false,2,22.0
194, 900109,Centre parking com com Tourny,49.185342,1.546146,false,2,22.0
195, 900110,Parking ComCom Market Etrépagny,49.303396,1.612974,false,2,22.0
196, 900111,Parking mairie Gisors,49.278682,1.777517,false,2,22.0
197, 900112,Salle des Fêtes Passage Soeur Brard Bourth,48.7707,0.807758,false,2,22.0
198, 900113,Avenue Foch Verneuil sur Avre,48.740485,0.928988,false,2,22.0
